Parent,Exposure OA,Treatment,Rep,Tank Number,Generation,Age,Run,live_larvae,live_spat,dead_spat,sucessful metamorphosis,metamorphesed
LOW,LOW,low OA,A,1,2,21,4,0,6,2,0.85,1
LOW,LOW,low OA,B,2,2,21,4,0,9,4,0.75,1
LOW,LOW,low OA,C,3,2,21,4,1,6,30,0.19,0.933333333
MODERATE,MODERATE,moderate OA,A,10,2,21,4,4,7,73.5,0.08,0.6
MODERATE,MODERATE,moderate OA,B,11,2,21,4,0.5,6,39.5,0.08,0.875
MODERATE,MODERATE,moderate OA,C,12,2,21,4,2,6,26,0.11,0.6
LOW,LOW,low OA,A,1,3,16,6,4,0.75,0,,0.33
LOW,LOW,low OA,B,2,3,16,6,6.5,6.75,0,,0.56
LOW,LOW,low OA,C,3,3,16,6,8.25,1.5,0,,0.19
MODERATE,LOW,low OA,A,4,3,16,6,2.75,3,0,,0.4
MODERATE,LOW,low OA,B,5,3,16,6,7.25,4.25,0,,0.35
MODERATE,LOW,low OA,C,6,3,16,6,3.25,4,0,,0.52
LOW,MODERATE,moderate OA,A,7,3,16,6,3.5,3,0,,0.49
LOW,MODERATE,moderate OA,B,8,3,16,6,9.25,0.5,0,,0.06
LOW,MODERATE,moderate OA,C,9,3,16,6,6.25,3.5,0,,0.4
MODERATE,MODERATE,moderate OA,A,10,3,16,6,3.75,3,1,,0.42
MODERATE,MODERATE,moderate OA,B,11,3,16,6,7.75,2.75,0,,0.27
MODERATE,MODERATE,moderate OA,C,12,3,16,6,5.25,2,0,,0.28
LOW,HIGH,high OA,A,13,3,16,6,3.75,4,0,,0.51
LOW,HIGH,high OA,B,14,3,16,6,0.5,0,0,,0
LOW,HIGH,high OA,C,15,3,16,6,8.25,3.5,0,,0.4
MODERATE,HIGH,high OA,A,16,3,16,6,4,0.75,0,,0.18
MODERATE,HIGH,high OA,B,17,3,16,6,2.25,3.5,0,,0.58
MODERATE,HIGH,high OA,C,18,3,16,6,2,3.75,0,,0.56
HIGH,LOW,low OA,A,19,3,16,6,6,5.75,0,,0.61
HIGH,LOW,low OA,B,20,3,16,6,11.25,3.5,0,,0.25
HIGH,LOW,low OA,C,21,3,16,6,12.25,1.5,0,,0.15
HIGH,MODERATE,moderate OA,A,22,3,16,6,9.5,7.25,0,,0.44
HIGH,MODERATE,moderate OA,B,23,3,16,6,6.75,0.75,1,,0.18
HIGH,MODERATE,moderate OA,C,24,3,16,6,8,6.5,1,,0.42
HIGH,HIGH,high OA,A,25,3,16,6,8.75,7.75,0,,0.49
HIGH,HIGH,high OA,B,26,3,16,6,6.5,6.25,0,,0.45
HIGH,HIGH,high OA,C,27,3,16,6,8.25,5.75,0,,0.32
LOW,LOW,low OA,A,1,3,19,6,42,38,5,0.88,0.48
LOW,LOW,low OA,B,2,3,19,6,25,91,3,0.97,0.78
LOW,LOW,low OA,C,3,3,19,6,43,25,2,0.93,0.37
MODERATE,LOW,low OA,A,4,3,19,6,16,110,2,0.98,0.87
MODERATE,LOW,low OA,B,5,3,19,6,39,108,2,0.98,0.73
MODERATE,LOW,low OA,C,6,3,19,6,15,94,3,0.97,0.86
LOW,MODERATE,moderate OA,A,7,3,19,6,23,30,4,0.88,0.57
LOW,MODERATE,moderate OA,B,8,3,19,6,26,18,0,1,0.41
LOW,MODERATE,moderate OA,C,9,3,19,6,42,62,3,0.95,0.6
MODERATE,MODERATE,moderate OA,A,10,3,19,6,2,15,9,0.63,0.88
MODERATE,MODERATE,moderate OA,B,11,3,19,6,5,30,1,0.97,0.86
MODERATE,MODERATE,moderate OA,C,12,3,19,6,30,73,4,0.95,0.71
LOW,HIGH,high OA,A,13,3,19,6,8,59,2,0.97,0.88
LOW,HIGH,high OA,B,14,3,19,6,15,5,0,1,0.25
LOW,HIGH,high OA,C,15,3,19,6,15,75,2,0.97,0.83
MODERATE,HIGH,high OA,A,16,3,19,6,13,21,3,0.88,0.62
MODERATE,HIGH,high OA,B,17,3,19,6,29,22,2,0.92,0.43
MODERATE,HIGH,high OA,C,18,3,19,6,23,43,3,0.93,0.65
HIGH,LOW,low OA,A,19,3,19,6,39,17,29,0.37,0.3
HIGH,LOW,low OA,B,20,3,19,6,40,12,8,0.6,0.23
HIGH,LOW,low OA,C,21,3,19,6,39,33,22,0.6,0.46
HIGH,MODERATE,moderate OA,A,22,3,19,6,49,32,0,1,0.4
HIGH,MODERATE,moderate OA,B,23,3,19,6,13,34,9,0.79,0.72
HIGH,MODERATE,moderate OA,C,24,3,19,6,7,23,1,0.96,0.77
HIGH,HIGH,high OA,A,25,3,19,6,19,116,14,0.89,0.86
HIGH,HIGH,high OA,B,26,3,19,6,17,29,0,1,0.63
HIGH,HIGH,high OA,C,27,3,19,6,17,13,45,0.22,0.43
